episode_id,filename,class_label,split,generation_phase,candidate_attempt_index,saved_episode_index,seed,duration,initial_mid_price,tick_size,min_spread,depth_levels,base_order_rate,volatility_regime,imbalance_regime,burstiness_regime,cancellation_regime,imbalance,burstiness,trend_regime,cluster_regime,iceberg_count,buy_iceberg_count,sell_iceberg_count,num_market_makers,num_fake_icebergs,num_regime_shifts,iceberg_timing_style,iceberg_placement_style,liquidity_profile_style,difficulty_bucket,had_positive_support,positive_support_strength,iceberg_became_meaningful,hard_negative_types,num_rows,num_events_approx,num_trades,total_volume,snapshot_interval,mean_spread,mean_depth
ep_000000,ep_000000.csv,iceberg,train,iceberg_phase,8,0,6817740,143.57207499999998,207.64,0.05,0.5121376046774679,6,1.8277047846616705,calm,neutral,normal,0.229903,-0.04355980362590495,0.254457,-0.727999,0.304208,1,0,1,0,2,0,clustered,at_bbo,inverted,hard_positive,True,0.7196,True,"{""large_visible"": 0.17196141886572996, ""sliced_visible"": 0.06303092001000919, ""churn"": 0.1038606539814689, ""multi_refill"": 0.08419575143471517, ""noise"": 0.4083163260237792, ""directional"": 0.526642908772815}",224,868,96,9762,0.6431,0.082366,242250.27
ep_000001,ep_000001.csv,iceberg,test,iceberg_phase,22,1,21329080,120.0,295.04,0.02,0.9871440122451898,10,1.0514680569386,noisy,strong_buy,normal,0.512132,0.8196114327739371,0.383862,-0.341587,0.705189,2,1,1,2,2,3,clustered,inside_spread,decay_exp,hard_positive,True,0.5727,True,"{""large_visible"": 0.22612668365159394, ""sliced_visible"": 0.18434150087412304, ""churn"": 0.33934364391703564, ""multi_refill"": 0.21218924174525644, ""noise"": 0.3299238613596788, ""directional"": 0.33927498868959827}",191,1303,53,2847,0.6287,0.02377,196482.17
ep_000002,ep_000002.csv,iceberg,test,iceberg_phase,23,2,21116902,414.73047999999994,99.13,0.01,0.9548432872691006,5,17.14052578770217,normal,strong_buy,bursty,0.082857,0.5329695691975175,0.401809,-0.570891,0.628781,2,2,0,1,0,1,late_bias,inside_spread,decay_linear,medium_positive,False,0.0,True,"{""large_visible"": 0.2924450581477063, ""sliced_visible"": 0.26701496705139793, ""churn"": 0.06149338426286878, ""multi_refill"": 0.2760668972119573, ""noise"": 0.1720983732364027, ""directional"": 0.26592649383623124}",175,2094,175,10622,2.3726,0.016571,686786.82
ep_000003,ep_000003.csv,iceberg,train,iceberg_phase,24,3,22288250,267.87416,192.03,0.01,0.4781799180207827,12,3.7400962317345243,normal,mild_buy,calm,0.282675,0.25862241734927205,0.122031,0.591982,0.109973,2,0,2,3,0,1,clustered,mixed,humped,hard_positive,True,0.273,True,"{""large_visible"": 0.1615349497451556, ""sliced_visible"": 0.12677517786746334, ""churn"": 0.21703189815662827, ""multi_refill"": 0.23926449390915133, ""noise"": 0.16371213792127637, ""directional"": 0.4466817869323061}",221,6241,447,34403,1.2154,0.016923,306952.73
ep_000004,ep_000004.csv,iceberg,test,iceberg_phase,28,4,26294362,240.0,77.13,0.01,1.08361825324898,12,1.4296762114571493,calm,strong_sell,calm,0.339746,-0.4153826150299716,0.037048,0.209137,0.019819,2,1,1,1,0,2,uniform_random,inside_spread,random,easy_positive,True,0.5874,True,"{""large_visible"": 0.052390429737307544, ""sliced_visible"": 0.18368955970739875, ""churn"": 0.05954475913241491, ""multi_refill"": 0.09043994429166498, ""noise"": 0.3680912550704466, ""directional"": 0.2355072554419757}",225,1753,178,12542,1.0698,0.015822,201232.3
ep_000005,ep_000005.csv,iceberg,test,iceberg_phase,31,5,29748141,240.0,270.78,0.02,0.697619429833682,12,1.0444928156189477,normal,strong_buy,calm,0.068077,0.7056090843817854,0.100091,-0.380397,0.424753,1,1,0,1,1,0,uniform_random,at_bbo,humped,hard_positive,True,0.4842,True,"{""large_visible"": 0.06806730881297625, ""sliced_visible"": 0.11670110579871236, ""churn"": 0.20937007304064692, ""multi_refill"": 0.08562059371087888, ""noise"": 0.23913244789275606, ""directional"": 0.5145926956658071}",355,1129,92,9254,0.677,0.026254,250586.69
ep_000006,ep_000006.csv,iceberg,train,iceberg_phase,41,6,40582117,240.0,180.94,0.02,1.422345340253508,9,5.218690638616481,normal,mild_sell,normal,0.398946,-0.2295966608005574,0.175724,0.857148,0.472428,3,1,2,1,0,3,uniform_random,mixed,humped,hard_positive,True,0.4219,True,"{""large_visible"": 0.12423845014168733, ""sliced_visible"": 0.10217402182613121, ""churn"": 0.0878324755880931, ""multi_refill"": 0.15696591532343768, ""noise"": 0.20374848481937144, ""directional"": 0.28815246015430473}",105,1735,300,20115,2.2986,0.029714,341999.54
ep_000007,ep_000007.csv,iceberg,train,iceberg_phase,42,7,41553426,180.0,71.3,0.05,0.501125321937798,8,2.437882827087366,normal,mild_sell,normal,0.188444,-0.3015859349234137,0.390404,-0.426321,0.646017,3,2,1,2,2,1,early_bias,mixed,humped,hard_positive,True,0.3516,True,"{""large_visible"": 0.18078431540919576, ""sliced_visible"": 0.051225749597956324, ""churn"": 0.10333567416771458, ""multi_refill"": 0.27428028374316726, ""noise"": 0.42142942372514425, ""directional"": 0.21884763670060997}",317,2693,182,10501,0.5692,0.084385,485559.67
ep_000008,ep_000008.csv,iceberg,test,iceberg_phase,45,8,43914442,106.728795,233.07,0.05,0.7366218190989373,14,5.0233969153624765,calm,strong_sell,calm,0.096977,-0.7240438059555344,0.044749,0.068065,0.456727,3,1,2,2,1,1,clustered,mixed,decay_exp,hard_positive,True,0.7235,True,"{""large_visible"": 0.09043686182805144, ""sliced_visible"": 0.1418161686242692, ""churn"": 0.32293633289354684, ""multi_refill"": 0.25962641946738035, ""noise"": 0.15607832629022098, ""directional"": 0.31486981773791567}",368,1943,299,14625,0.2903,0.06712,221618.64
ep_000009,ep_000009.csv,iceberg,test,iceberg_phase,67,9,65540730,240.0,53.53,0.01,1.3818695072521452,9,19.035186603628205,noisy,strong_sell,normal,0.234172,-0.5585765781491492,0.164966,0.095302,0.363497,2,2,0,2,2,2,early_bias,mixed,humped,hard_positive,False,0.0,True,"{""large_visible"": 0.30659876667909153, ""sliced_visible"": 0.18012804394283372, ""churn"": 0.15812880337354746, ""multi_refill"": 0.20819244778563106, ""noise"": 0.30455855196288373, ""directional"": 0.2646636668643814}",558,3964,238,16039,0.4304,0.012975,734547.55
